cout,loc,type
654,旧金山会议,证据源形式
422,《声明》,证据源形式
865,菲律宾领海基线法案,证据源形式
308,《联合声明》,证据源形式
83,《南海各方行为宣言》,证据源形式
564,《南海各方行为宣言》,证据源形式
685,马来西亚大陆架地图,证据源形式
747,东盟防长扩大会议,证据源形式
443,《南海各方行为宣言》,证据源形式
80,《海峡时报》,证据源形式
853,《水陆地图审查委员会会刊》,证据源形式
420,《南海各方行为宣言》,证据源形式
224,东盟地区论坛,证据源形式
16,联合声明,证据源形式
99,东盟地区论坛,证据源形式
85,“至2020年越南海洋战略”,证据源形式
497,东盟地区论坛,证据源形式
