cout,time,type
527,2010年6月,时间
251,2013年,时间
840,1975年,时间
279,2013年1月,时间
354,2010年7月,时间
49,2014年2月17日,时间
838,2005年3月14日,时间
845,1970年,时间
852,1933年7月,时间
572,1994年,时间
369,1995年,时间
539,2009年,时间
17,1994年10月,时间
422,1997年,时间
467,1992年7月,时间
18,1995年5月10日,时间
911,2007年4月,时间
567,1997年9月,时间
160,2012年,时间
94,2009年,时间
489,2001年,时间
602,2012年9月,时间
786,2015年10月,时间
843,1978年6月,时间
135,2012年,时间
890,2009年,时间
449,1995年,时间
292,2013年1月22日,时间
490,2004年,时间
204,2011年3月2日,时间
784,2012年,时间
513,1988年,时间
515,1995年3月25日,时间
102,2009年5月,时间
799,2009年3月8日,时间
57,2011年,时间
150,2009年3月10日,时间
481,1998年12月,时间
235,1995年4月,时间
814,2010年9月15日,时间
242,2012年3,4月间,时间
640,2002年,时间
667,1997年,时间
583,1992年,时间
289,2009年2月,时间
162,2011年,时间
